Campo1,Campo2_texto,Campo2_enlaces,Campo3_texto,Campo3_enlaces,Campo4_texto,Campo4_enlaces
16:44 hs,"
                  Pedro Valdivia, presunto asesino de joven en una fiesta en Lince, negó acusación durante interrogatorio [VIDEO]              ",https://rpp.pe/lima/policiales-crimenes/pedro-valdivia-presunto-asesino-de-joven-en-una-fiesta-en-lince-fue-interrogado-por-la-policia-video-noticia-1508515,"
                   Policiales / Crímenes              ",https://rpp.pe/lima/policiales-crimenes,Sergio Espinoza,https://rpp.pe/autor/sespinoza
16:35 hs,"
                  TikTok está probando un servicio de suscripción mensual para ver videos sin publicidad              ",https://rpp.pe/tecnologia/apps/tiktok-prueba-servicio-de-suscripcion-para-videos-sin-publicidad-noticia-1508506,"
                  Apps              ",https://rpp.pe/tecnologia/apps,Leonardo Ancajima,https://rpp.pe/autor/lancajima
16:30 hs,"
                  Feriados 2023: ¿cuántos quedan este año y cuánto deben pagarte si trabajas esos días?              ",https://rpp.pe/economia/economia/feriados-2023-cuales-seran-los-dias-libres-de-este-ano-noticia-1457559,"
                  Economía              ",https://rpp.pe/economia/economia,Guadalupe Gamboa,https://rpp.pe/autor/ngamboa
16:30 hs,"
                  Sedapal no puede cobrar servicio de agua los días de corte, indica Sunass              ",https://rpp.pe/economia/economia/sunass-sedapal-no-podra-cobrar-por-dias-que-no-brinde-servicio-de-agua-noticia-1507921,"
                  Economía              ",https://rpp.pe/economia/economia,Guadalupe Gamboa,https://rpp.pe/autor/ngamboa
16:25 hs,"
                  Andrés Salas sobre una posible secuela de '¡Asu mare! Los amigos': ""Ya cumplió un ciclo""              ",https://rpp.pe/cine/peru/asu-mare-los-amigos-andres-salas-descarta-una-posible-secuela-noticia-1508511,"
                  Perú              ",https://rpp.pe/cine/peru,Renzo Napa,https://rpp.pe/autor/rnapa
16:23 hs,"
                  Reino Unido: rayo impacta sobre un tanque de biogás y causa una fuerte explosión en Oxford [VIDEO]              ",https://rpp.pe/mundo/europa/reino-unido-rayo-impacta-sobre-un-tanque-de-biogas-y-causa-una-explosion-en-oxford-noticia-1508507,"
                  Europa              ",https://rpp.pe/mundo/europa,Pedro Luis Ramos Martinez,https://rpp.pe/autor/pramos
15:57 hs,"
                  Juan Reynoso destacó momento goleador de Paolo Guererro: ""Seguirá siendo nuestro capitán""              ",https://rpp.pe/futbol/seleccion-peruana/paolo-guerrero-y-seleccion-peruana-seguira-siendo-nuestro-capitan-senalo-juan-reynoso-noticia-1508489,"
                  Selección Peruana              ",https://rpp.pe/futbol/seleccion-peruana,José Luis Blanco Pagán,https://rpp.pe/autor/jblanco
15:53 hs,"
                  Mario Tajima, de Cantolao, denuncia presunta mafia de apuestas en la Liga 1: ""Estamos indefensos""              ",https://rpp.pe/futbol/descentralizado/cantolao-en-liga-1-mario-tajima-denuncia-presunta-mafia-de-apuestas-noticia-1508390,"
                  Descentralizado              ",https://rpp.pe/futbol/descentralizado,José Luis Blanco Pagán,https://rpp.pe/autor/jblanco
15:42 hs,"
                  'El reventonazo de la chola' vs '¿Cuál es el verdadero?': ¿qué programa lideró el rating el sábado?              ",https://rpp.pe/tv/peru/rating-el-gran-chef-famosos-vs-cual-es-el-verdadero-que-programa-lidero-el-ranking-noticia-1508495,"
                  Perú              ",https://rpp.pe/tv/peru,Brenda García Retamal,https://rpp.pe/autor/bgarcia
15:23 hs,"
                  Apareció y Al Nassr empató: Cristiano Ronaldo anotó de zurda en la Champions de Asia [VIDEO]              ",https://rpp.pe/futbol/futbol-mundial/gol-cristiano-ronaldo-asi-fue-el-gol-de-zurda-en-el-1-1-de-al-nassr-vs-istiklol-noticia-1508491,"
                  Fútbol Mundial              ",https://rpp.pe/futbol/futbol-mundial,José Luis Blanco Pagán,https://rpp.pe/autor/jblanco
15:15 hs,"
                  ¿Qué es la reforma de 'renovación por mitades' y por qué diversas bancadas del Congreso la han planteado?              ",https://rpp.pe/politica/congreso/renovacion-por-mitades-en-el-congreso-que-es-esta-reforma-y-por-que-diversas-bancadas-la-han-planteado-noticia-1507744,"
                  Congreso              ",https://rpp.pe/politica/congreso,Karina Valencia Pantoja,https://rpp.pe/autor/kvalencia
15:14 hs,"
                  Mario Hart anuncia su retorno al reggaetón: ""Porque ustedes lo pidieron""              ",https://rpp.pe/musica/nacional/mario-hart-anuncia-su-retorno-al-reggaeton-porque-ustedes-lo-pidieron-noticia-1508487,"
                  Nacional              ",https://rpp.pe/musica/nacional,Renzo Napa,https://rpp.pe/autor/rnapa
15:12 hs,"
                  James Webb captura estructuras similares a planetas en la Nebulosa de Orión              ",https://rpp.pe/ciencia/espacio/james-webb-captura-estructuras-similares-a-planetas-en-la-nebulosa-de-orion-noticia-1508493,"
                  Espacio              ",https://rpp.pe/ciencia/espacio,Leonardo Ancajima,https://rpp.pe/autor/lancajima
15:12 hs,"
                  Samsung trabaja en su propio servicio de transmisión de juegos para celulares              ",https://rpp.pe/tecnologia/moviles/samsung-trabaja-en-su-propio-servicio-de-transmision-de-juegos-para-celulares-noticia-1508482,"
                  Móviles              ",https://rpp.pe/tecnologia/moviles,Leonardo Ancajima,https://rpp.pe/autor/lancajima
15:12 hs,"
                  El creador de ChatGPT quiere reemplazar a las ‘personas normales’ con inteligencia artificial              ",https://rpp.pe/tecnologia/mas-tecnologia/el-creador-de-chatgpt-quiere-reemplazar-a-las-personas-normales-con-inteligencia-artificial-noticia-1508468,"
                  Más Tecnología              ",https://rpp.pe/tecnologia/mas-tecnologia,Leonardo Ancajima,https://rpp.pe/autor/lancajima
15:12 hs,"
                  Tormenta solar destrozó la cola de un cometa durante su paso por nuestro sistema              ",https://rpp.pe/ciencia/espacio/tormenta-solar-destrozo-la-cola-de-un-cometa-durante-su-paso-por-nuestro-sistema-noticia-1508413,"
                  Espacio              ",https://rpp.pe/ciencia/espacio,Leonardo Ancajima,https://rpp.pe/autor/lancajima
